Date,T-BILL,CANADA,JAPAN,FRANCE,GERMANY,ITALY,SWITZERLAND,UNITED KINGDOM ,USA ,WORLD
199901,0.043600001,0.081604018,0.006610044,0.02817346,0.015746602,-0.053124471,-0.024107861,-0.012373267,0.042136851,0.058023749
199902,0.045500002,-0.058184993,-0.022567403,-0.066345378,-0.083456083,-0.015563348,-0.03324592,0.020162574,-0.028971325,0.005603611
199903,0.043600001,0.03994296,0.138065964,0.017612521,-0.028126865,0.0376781,-0.01185687,0.02915325,0.040499575,-0.030992905
199904,0.044299998,0.100487928,0.041192432,0.025321088,0.063895254,-0.031009212,-0.003333501,0.036748214,0.035136465,-0.009960737
199905,0.045100002,-0.028619254,-0.056852118,-0.024123389,-0.061761286,-0.054697434,-0.051245007,-0.057256581,-0.0242883,0.042450028
199906,0.046700001,0.040519481,0.094130327,0.029230681,0.054561251,-0.023997019,-0.017130875,0.000587985,0.052749067,-0.035223196
199907,0.046199999,0.006123501,0.099334986,0.004481301,-0.016994679,-0.03332474,0.038629906,0.013042343,-0.03341148,-0.000416215
199908,0.048499999,-0.01726627,-0.007466786,0.035483298,0.01633318,0.020944664,-0.001897886,-0.00595382,-0.007376739,-0.062031499
199909,0.0471,0.027782635,0.06020182,0.009465621,-0.014450425,0.019213961,-0.003124426,-0.018316948,-0.030714519,-0.085107016
199910,0.0496,0.066189482,0.042415414,0.054305917,0.053136492,-0.031917358,0.017473178,0.027030374,0.064347016,3.97328e-05
199911,0.051500001,0.039251534,0.042435863,0.032269843,0.026861133,0.02268828,-0.008376483,0.010249443,0.020441414,-0.111250906
199912,0.051700001,0.143943351,0.061637509,0.113434787,0.170421448,0.144011709,0.020464696,0.055079891,0.068759055,0.072752002
200001,0.055300002,0.002195081,-0.043692032,-0.066763458,-0.035475677,-0.052250026,-0.110545498,-0.093480851,-0.054472771,0.052517859
200002,0.056399999,0.058813222,-0.026312461,0.089011419,0.103638927,0.121360783,-0.023006528,-0.033669165,-0.024738498,-0.049499023
200003,0.057199998,0.088534217,0.082038616,0.010334292,-0.016823861,-0.06394086,0.080019327,0.071518355,0.098831453,-0.031225109
200004,0.056500001,-0.037451296,-0.075569258,-0.033489801,-0.087290353,-0.066532673,-0.035012689,-0.04365293,-0.033248012,-0.019041588
200005,0.054899998,-0.019598641,-0.051304616,0.026279409,-0.031922981,0.042442475,0.054149391,-0.03568128,-0.027373371,-0.005626514
200006,0.056999998,0.124892982,0.068308238,0.037208122,-0.003874312,0.066568074,0.037622887,0.007318412,0.023040571,0.086390036
200007,0.0602,0.029662933,-0.115557699,-0.016828785,-0.004695408,-0.043178111,0.002416542,0.005016477,-0.018824815,0.054527101
200008,0.061100001,0.08721401,0.064282197,-0.024980861,-0.046881332,-0.014286784,-0.023247813,0.008855498,0.051034872,0.015643929
200009,0.060300002,-0.101644656,-0.050115897,-0.064289215,-0.053196749,-0.059380788,-0.055839015,-0.029165387,-0.055272302,0.019187983
200010,0.061500001,-0.088107098,-0.058448679,-0.024500689,0.006307111,0.022461234,0.007866826,0.005289564,-0.008062519,0.019761653
200011,0.060100002,-0.090428018,-0.042029392,-0.047096165,-0.074474222,0.018155503,0.041078172,-0.060553618,-0.07992217,0.004768459
200012,0.0573,0.020919435,-0.061304265,0.078012305,0.083819314,0.020430655,0.091474931,0.066447717,-0.002585588,0.0583373
200101,0.048400002,0.048293516,-0.011949261,0.001947068,0.037312337,0.017461322,-0.021175307,-0.016785169,0.035635991,0.013827676
200102,0.047199998,-0.160079067,-0.045070263,-0.11204466,-0.082499391,-0.100436019,-0.066041516,-0.06927179,-0.090543881,0.061782609
200103,0.041799998,-0.093010977,-0.032797302,-0.069620003,-0.105062886,-0.062979295,-0.100657113,-0.04968349,-0.06464492,0.015410298
200104,0.038299999,0.070863098,0.067745024,0.089891615,0.065021546,0.049894928,0.020301957,0.06131969,0.076941241,0.015547045
200105,0.0354,0.017302676,-0.002425383,-0.070582602,-0.069336542,-0.091503739,-0.013713814,-0.035190699,0.004503213,-0.008880363
200106,0.035599999,-0.039991384,-0.059689501,-0.041220382,-0.007878541,-0.049973212,-0.040380264,-0.035363273,-0.023523288,-0.022187394
200107,0.034400001,-0.005150532,-0.07453263,0.004492915,0.003725354,0.021389482,-0.009644462,0.000556558,-0.010325498,0.006730008
200108,0.0328,-0.055707278,-0.025058914,-0.034190159,-0.071267625,-0.010256685,-0.003719253,-0.014319327,-0.067872438,0.019067167
200109,0.023,-0.094706463,-0.096182182,-0.116886658,-0.162453512,-0.137769783,-0.046152695,-0.067644287,-0.077427773,-0.033430274
200110,0.0201,0.000326401,-0.001978281,0.050136634,0.043975979,0.031897195,0.002232466,0.018335988,0.013556651,0.002570619
200111,0.0173,0.090564507,0.010891844,0.029478009,0.087778479,0.018281857,0.021775039,0.019728215,0.07539817,0.017705389
200112,0.0167,0.01418012,-0.067644224,0.031724834,0.030543218,0.012946092,0.020185583,0.023247973,0.005143699,0.023705457
200201,0.0172,-0.008220665,-0.078339265,-0.063636434,-0.046680657,-0.035494866,-0.055502086,-0.04264754,-0.015130839,0.050936888
200202,0.0172,-0.011560863,0.041333174,0.00852267,-0.013192008,-0.002305496,0.028875055,-0.009018488,-0.021092938,0.037255841
200203,0.0174,0.034102781,0.053457012,0.052933892,0.079286724,0.063604047,0.061500109,0.040856106,0.036419281,-0.023081396
